day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3939.824
0,SDC-1450,item:021081,3347176.126206
0,SDC-1450,item:693055,0.0
0,SDC-1450,item:773474,0.0
0,SDC-VD0500655A,item:002612,201.972681
0,SDC-VD0505677A,item:099439,219.791185
0,SDC-VD0508918A,item:730384,483.466
0,SDC-VD0514881A,item:016332,196.712424
0,SDC-VD0518684A,item:001893,179.599258
0,SDC-VD0519670A,item:001848,189.237298
0,SDC-VD0519670A,item:029313,202.510672
0,SDC-VD0520115A,item:708073,175.880365
0,SDC-VD0520132A,item:038005,170.909178
0,SDC-VD0520132A,item:049371,179.219607
0,SDC-VD0525412A,item:333362,0.0
0,SDC-VD0901566A,item:338928,73.28125
0,SDC-VD0910216A,item:001893,177.194804
0,SDC-VD0910216A,item:002612,187.512545
0,SDC-VD0914320A,item:055703,201.275623
0,SDC-VD0914360C,item:338929,2280.5
0,SDC-VD0914690A,item:042342,4714.21875
0,SDC-VD0949099A,item:021081,125126.769426
0,SDC-VD0951020A,item:001757,179.156332
0,SDC-VD0951020A,item:001848,229.584937
0,SDC-VD0960508A,item:021081,125150.50555
0,SDC-VD0964290A,item:055703,202.780675
0,SDC-VD0972460A,item:021081,125157.626388
0,SDC-VD0975221A,item:021081,125157.626388
0,SDC-VD0989480A,item:426331,174.2855
0,SDC-VD0990780A,item:002612,198.635727
0,SDC-VD0993480A,item:344135,73.28125
0,SDC-VD1091642A,item:001893,179.198515
0,SDC-VD1091642A,item:002612,201.972681
0,SDC-VD1095770A,item:734545,176.034
0,SDC-VD1096202A,item:039668,202.640511
1,SDC-1450,item:007923,3941.7728
1,SDC-1450,item:021081,3352762.007833
1,SDC-1450,item:693055,0.0
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,201.970332
1,SDC-VD0505677A,item:099439,219.74419
1,SDC-VD0508918A,item:730384,483.5932
1,SDC-VD0514881A,item:016332,196.701145
1,SDC-VD0518684A,item:001893,179.599721
1,SDC-VD0519670A,item:001848,189.21756
1,SDC-VD0519670A,item:029313,202.509732
1,SDC-VD0520115A,item:708073,175.885123
1,SDC-VD0520132A,item:038005,170.919678
1,SDC-VD0520132A,item:049371,179.220508
1,SDC-VD0525412A,item:333362,0.0
1,SDC-VD0901566A,item:338928,73.28125
1,SDC-VD0910216A,item:001893,177.198044
1,SDC-VD0910216A,item:002612,187.479649
1,SDC-VD0914320A,item:055703,201.274307
1,SDC-VD0914360C,item:338929,2281.1
1,SDC-VD0914690A,item:042342,4714.21875
1,SDC-VD0949099A,item:021081,125126.769426
1,SDC-VD0951020A,item:001757,179.157306
1,SDC-VD0951020A,item:001848,229.576478
1,SDC-VD0960508A,item:021081,125150.50555
1,SDC-VD0964290A,item:055703,202.780111
1,SDC-VD0972460A,item:021081,125157.626388
1,SDC-VD0975221A,item:021081,125157.626388
1,SDC-VD0989480A,item:426331,174.2921
1,SDC-VD0990780A,item:002612,198.626328
1,SDC-VD0993480A,item:344135,73.28125
