day,node_id,item_id,capacity_qty_per_day,used_qty,remaining_capacity_qty,utilization
0,SDC-1450,item:007923,771.428571,64.96,706.468571,0.084207
0,SDC-1450,item:693055,46.285714,46.285714,0.0,1.0
0,SDC-1450,item:773474,900000.0,180.0,899820.0,0.0002
0,SDC-VD0500655A,item:002612,46.285714,0.0,46.285714,0.0
0,SDC-VD0505677A,item:099439,118.125,1.689975,116.435025,0.014307
0,SDC-VD0508918A,item:730384,46.285714,46.285714,0.0,1.0
0,SDC-VD0514881A,item:016332,46.285714,0.563934,45.72178,0.012184
0,SDC-VD0518684A,item:001893,46.285714,0.0,46.285714,0.0
0,SDC-VD0519670A,item:001848,184.615385,1.60776,183.007625,0.008709
0,SDC-VD0519670A,item:029313,46.285714,0.053592,46.232122,0.001158
0,SDC-VD0520115A,item:708073,46.285714,5.412225,40.873489,0.116931
0,SDC-VD0520132A,item:038005,63.829787,62.253319,1.576469,0.975302
0,SDC-VD0520132A,item:049371,46.285714,5.099969,41.185745,0.110185
0,SDC-VD0525412A,item:333362,81.818182,81.818182,0.0,1.0
0,SDC-VD0901566A,item:338928,56.25,56.25,0.0,1.0
0,SDC-VD0910216A,item:001893,46.285714,10.18248,36.103234,0.219992
0,SDC-VD0910216A,item:002612,46.285714,1.689975,44.595739,0.036512
0,SDC-VD0914320A,item:055703,46.285714,0.080794,46.20492,0.001746
0,SDC-VD0914360C,item:338929,116.883117,116.883117,0.0,1.0
0,SDC-VD0914690A,item:042342,3394.2375,180.0,3214.2375,0.053031
0,SDC-VD0949099A,item:021081,10057.5,180.0,9877.5,0.017897
0,SDC-VD0951020A,item:001757,46.285714,3.17898,43.106734,0.068682
0,SDC-VD0951020A,item:001848,104.854369,0.0,104.854369,0.0
0,SDC-VD0960508A,item:021081,10057.5,180.0,9877.5,0.017897
0,SDC-VD0964290A,item:055703,46.285714,0.0,46.285714,0.0
0,SDC-VD0972460A,item:021081,10057.5,180.0,9877.5,0.017897
0,SDC-VD0975221A,item:021081,10057.5,180.0,9877.5,0.017897
0,SDC-VD0989480A,item:426331,46.285714,7.5075,38.778214,0.162199
0,SDC-VD0990780A,item:002612,46.285714,0.0,46.285714,0.0
0,SDC-VD0993480A,item:344135,56.25,56.25,0.0,1.0
0,SDC-VD1091642A,item:001893,46.285714,0.0,46.285714,0.0
0,SDC-VD1091642A,item:002612,46.285714,0.0,46.285714,0.0
0,SDC-VD1095770A,item:734545,46.285714,4.16,42.125714,0.089877
0,SDC-VD1096202A,item:039668,46.285714,0.0338,46.251915,0.00073
1,SDC-1450,item:007923,771.428571,74.704,696.724571,0.096839
1,SDC-1450,item:693055,46.285714,46.285714,0.0,1.0
1,SDC-1450,item:773474,900000.0,36.0,899964.0,4e-05
1,SDC-VD0500655A,item:002612,46.285714,0.0,46.285714,0.0
1,SDC-VD0505677A,item:099439,118.125,0.04669,118.07831,0.000395
1,SDC-VD0508918A,item:730384,46.285714,46.285714,0.0,1.0
1,SDC-VD0514881A,item:016332,46.285714,0.011206,46.274509,0.000242
1,SDC-VD0518684A,item:001893,46.285714,0.0,46.285714,0.0
1,SDC-VD0519670A,item:001848,184.615385,0.028014,184.587371,0.000152
