day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,2562.857143,107800.0,107800.0,154000.0,184800.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
0,M-1810,item:268091,1900.0,14400.0,14400.0,203550.0,557550.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
0,SDC-1450,item:773474,1486826.572,3200000.0,500000.0,500000.0,128251677.852349,capacity,,986826.572,2700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,1,1,3200000.0,3200000.0,3200000.0,2700000.0
1,SDC-1450,item:773474,3406826.572,2700000.0,500000.0,500000.0,128251677.852349,capacity,,2906826.572,2200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,2700000.0,2200000.0
2,M-1810,item:268091,1520.0,14400.0,14400.0,203550.0,950250.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
2,SDC-1450,item:773474,3790826.572,2200000.0,500000.0,500000.0,128251677.852349,capacity,,3290826.572,1700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,2200000.0,1700000.0
3,M-1810,item:268091,244.0,14400.0,14400.0,203550.0,1139400.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
3,SDC-1450,item:773474,3867626.572,1700000.0,500000.0,500000.0,128251677.852349,capacity,,3367626.572,1200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,1700000.0,1200000.0
4,SDC-1450,item:773474,3882986.572,1200000.0,500000.0,500000.0,128251677.852349,capacity,,3382986.572,700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,1200000.0,700000.0
5,SDC-1450,item:773474,3886058.572,700000.0,500000.0,500000.0,128251677.852349,capacity,,3386058.572,200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,700000.0,200000.0
