day,node_id,item_id,order_type,src_node_id,dst_node_id,edge_id,planning_status,release_status,receipt_status,order_status_end_of_run,release_qty,planned_receipt_qty,release_day,order_date_imt,arrival_day,actual_receipt_day,implied_cover_need_day,lead_days,lead_cover_days,safety_time_days,reliability,standard_order_qty,mrp_share
0,M-1430,item:038005,lane_release,SDC-VD0520132A,M-1430,edge:SDC-VD0520132A_TO_M-1430_038005,planned_and_released,released,firm_receipt,received,30000.0,30000.0,0,-90,192,192,212,192,282,20.0,1.0,10000.0,1.0
0,M-1430,item:333362,lane_release,SDC-VD0525412A,M-1430,edge:SDC-VD0525412A_TO_M-1430_333362,planned_and_released,released,firm_receipt,received,1660000.0,1660000.0,0,-68,42,42,52,42,110,10.0,1.0,5000.0,1.0
0,M-1430,item:344135,lane_release,SDC-VD0993480A,M-1430,edge:SDC-VD0993480A_TO_M-1430_344135,planned_and_released,released,firm_receipt,received,1800000.0,1800000.0,0,-12,52,52,62,52,64,10.0,1.0,120000.0,1.0
0,M-1430,item:708073,lane_release,SDC-VD0520115A,M-1430,edge:SDC-VD0520115A_TO_M-1430_708073,planned_and_released,released,firm_receipt,received,43963.92,43963.92,0,-27,25,25,35,25,52,10.0,1.0,5000000.0,1.0
0,M-1430,item:730384,lane_release,SDC-VD0508918A,M-1430,edge:SDC-VD0508918A_TO_M-1430_730384,planned_and_released,released,firm_receipt,received,370000.0,370000.0,0,-68,35,35,45,35,103,10.0,1.0,370000.0,1.0
0,M-1430,item:734545,lane_release,SDC-VD1095770A,M-1430,edge:SDC-VD1095770A_TO_M-1430_734545,planned_and_released,released,firm_receipt,received,18900.0,18900.0,0,-33,6,6,16,6,39,10.0,1.0,6300.0,1.0
0,M-1430,item:773474,lane_release,SDC-1450,M-1430,edge:SDC-1450_TO_M-1430_773474,planned_and_released,released,firm_receipt,received,10100000.0,10100000.0,0,-6,13,13,33,13,19,20.0,1.0,1.0,1.0
0,SDC-VD0519670A,item:001848,external_procurement,EXTERNAL_MARKET,SDC-VD0519670A,,planned_and_released,released,firm_receipt,received,495.8478,495.8478,0,0,4,4,4,4,4,0.0,1.0,0.0,0.0
0,M-1810,item:001848,lane_release,SDC-VD0519670A,M-1810,edge:SDC-VD0519670A_TO_M-1810_001848,planned_and_released,released,firm_receipt,received,5330.36385,5330.36385,0,-25,14,14,34,14,39,20.0,1.0,4000.0,0.7
0,M-1810,item:001848,lane_release,SDC-VD0951020A,M-1810,edge:SDC-VD0951020A_TO_M-1810_001848,planned_and_released,released,firm_receipt,received,5454.3258,5454.3258,0,-7,96,96,116,96,103,20.0,1.0,6000.0,0.3
0,SDC-VD0910216A,item:001893,external_procurement,EXTERNAL_MARKET,SDC-VD0910216A,,planned_and_released,released,firm_receipt,received,3140.3694,3140.3694,0,0,4,4,4,4,4,0.0,1.0,0.0,0.0
0,M-1810,item:001893,lane_release,SDC-VD0910216A,M-1810,edge:SDC-VD0910216A_TO_M-1810_001893,planned_and_released,released,firm_receipt,received,27216.5348,27216.5348,0,-30,22,22,37,22,52,15.0,1.0,23920.0,0.7
0,SDC-VD1091642A,item:001893,external_procurement,EXTERNAL_MARKET,SDC-VD1091642A,,planned_and_released,released,firm_receipt,received,3140.3694,3140.3694,0,0,4,4,4,4,4,0.0,1.0,0.0,0.0
0,M-1810,item:001893,lane_release,SDC-VD1091642A,M-1810,edge:SDC-VD1091642A_TO_M-1810_001893,planned_and_released,released,firm_receipt,received,20900.0,20900.0,0,-59,18,18,33,18,77,15.0,1.0,20900.0,0.2
0,SDC-VD0518684A,item:001893,external_procurement,EXTERNAL_MARKET,SDC-VD0518684A,,planned_and_released,released,firm_receipt,received,3140.3694,3140.3694,0,0,4,4,4,4,4,0.0,1.0,0.0,0.0
0,M-1810,item:001893,lane_release,SDC-VD0518684A,M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,planned_and_released,released,firm_receipt,received,22800.0,22800.0,0,5,108,108,123,108,103,15.0,1.0,22800.0,0.1
0,M-1810,item:001893,lane_release,SDC-VD1091642A,M-1810,edge:SDC-VD1091642A_TO_M-1810_001893,planned_and_released,released,firm_receipt,received,6316.5348,6316.5348,0,-4,73,73,88,73,77,15.0,1.0,20900.0,0.2
0,M-1810,item:001893,lane_release,SDC-VD0518684A,M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,planned_and_released,released,firm_receipt,received,4416.5348,4416.5348,0,-43,60,60,75,60,103,15.0,1.0,22800.0,0.1
0,M-1810,item:049371,lane_release,SDC-VD0520132A,M-1810,edge:SDC-VD0520132A_TO_M-1810_049371,planned_and_released,released,firm_receipt,received,9600.0,9600.0,0,-147,122,122,162,122,269,40.0,1.0,1600.0,1.0
0,M-1810,item:055703,lane_release,SDC-VD0914320A,M-1810,edge:SDC-VD0914320A_TO_M-1810_055703,planned_and_released,released,firm_receipt,received,300.0,300.0,0,0,39,39,69,39,39,30.0,1.0,300.0,0.7
