day,node_id,item_id,capacity_qty_per_day,used_qty,remaining_capacity_qty,utilization
0,SDC-VD0500655A,item:002612,203294.117647,0.0,203294.117647,0.0
0,SDC-VD0505677A,item:099439,165282.6,4200.0,161082.6,0.025411
0,SDC-VD0508918A,item:730384,13059200.0,740000.0,12319200.0,0.056665
0,SDC-VD0514881A,item:016332,39667.824,1100.0,38567.824,0.02773
0,SDC-VD0518684A,item:001893,628073.88,0.0,628073.88,0.0
0,SDC-VD0519670A,item:001848,99169.56,0.0,99169.56,0.0
0,SDC-VD0519670A,item:029313,8228.571429,300.0,7928.571429,0.036458
0,SDC-VD0520115A,item:708073,488488.0,30000.0,458488.0,0.061414
0,SDC-VD0520132A,item:038005,1077949.2416,10000.0,1067949.2416,0.009277
0,SDC-VD0520132A,item:049371,122309.124,1600.0,120709.124,0.013082
0,SDC-VD0525412A,item:333362,61600000.0,1170000.0,60430000.0,0.018994
0,SDC-VD0901566A,item:338928,320000000.0,400000.0,319600000.0,0.00125
0,SDC-VD0910216A,item:001893,628073.88,23920.0,604153.88,0.038085
0,SDC-VD0910216A,item:002612,171428.571429,22500.0,148928.571429,0.13125
0,SDC-VD0914320A,item:055703,8228.571429,300.0,7928.571429,0.036458
0,SDC-VD0914360C,item:338929,81420000.0,295000.0,81125000.0,0.003623
0,SDC-VD0914690A,item:042342,1672680240.0,30000000.0,1642680240.0,0.017935
0,SDC-VD0949099A,item:021081,20000.0,0.0,20000.0,0.0
0,SDC-VD0951020A,item:001757,132226.08,100.0,132126.08,0.000756
0,SDC-VD0951020A,item:001848,99169.56,6000.0,93169.56,0.060502
0,SDC-VD0951020A,item:007923,264452.16,6.634545,264445.525455,2.5e-05
0,SDC-VD0956464A,item:007923,264452.16,40.136655,264412.023345,0.000152
0,SDC-VD0960508A,item:021081,20000.0,0.0,20000.0,0.0
0,SDC-VD0964290A,item:055703,8228.571429,0.0,8228.571429,0.0
0,SDC-VD0972460A,item:021081,20000.0,0.0,20000.0,0.0
0,SDC-VD0975221A,item:021081,20000.0,0.0,20000.0,0.0
0,SDC-VD0989480A,item:426331,895620.0,19200.0,876420.0,0.021438
0,SDC-VD0990780A,item:002612,180952.380952,0.0,180952.380952,0.0
0,SDC-VD0993480A,item:344135,61600000.0,4440000.0,57160000.0,0.072078
0,SDC-VD1091642A,item:001893,628073.88,0.0,628073.88,0.0
0,SDC-VD1091642A,item:002612,171428.571429,0.0,171428.571429,0.0
0,SDC-VD1095770A,item:734545,492800.0,25200.0,467600.0,0.051136
0,SDC-VD1096202A,item:039668,8228.571429,450.0,7778.571429,0.054687
1,SDC-VD0500655A,item:002612,203294.117647,21600.0,181694.117647,0.10625
1,SDC-VD0505677A,item:099439,165282.6,4200.0,161082.6,0.025411
1,SDC-VD0508918A,item:730384,13059200.0,0.0,13059200.0,0.0
1,SDC-VD0514881A,item:016332,39667.824,1100.0,38567.824,0.02773
1,SDC-VD0518684A,item:001893,628073.88,22800.0,605273.88,0.036301
1,SDC-VD0519670A,item:001848,99169.56,4000.0,95169.56,0.040335
1,SDC-VD0519670A,item:029313,8228.571429,0.0,8228.571429,0.0
1,SDC-VD0520115A,item:708073,488488.0,0.0,488488.0,0.0
1,SDC-VD0520132A,item:038005,1077949.2416,10000.0,1067949.2416,0.009277
1,SDC-VD0520132A,item:049371,122309.124,1600.0,120709.124,0.013082
1,SDC-VD0525412A,item:333362,61600000.0,110000.0,61490000.0,0.001786
1,SDC-VD0901566A,item:338928,320000000.0,25000.0,319975000.0,7.8e-05
1,SDC-VD0910216A,item:001893,628073.88,0.0,628073.88,0.0
1,SDC-VD0910216A,item:002612,171428.571429,0.0,171428.571429,0.0
1,SDC-VD0914320A,item:055703,8228.571429,0.0,8228.571429,0.0
1,SDC-VD0914360C,item:338929,81420000.0,15000.0,81405000.0,0.000184
1,SDC-VD0914690A,item:042342,1672680240.0,30000000.0,1642680240.0,0.017935
1,SDC-VD0949099A,item:021081,20000.0,0.0,20000.0,0.0
1,SDC-VD0951020A,item:001757,132226.08,100.0,132126.08,0.000756
1,SDC-VD0951020A,item:001848,99169.56,0.0,99169.56,0.0
1,SDC-VD0951020A,item:007923,264452.16,6.634545,264445.525455,2.5e-05
