day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,44.0,44.0,0.0,0.0,44.0,585.271,37031.8896,1180.145,61.5312,44.949,1039.9344,0.0,0.0
1,44.0,44.0,0.0,77.952,44.0,219.7729,35202.3668,1118.7239,109.8942,71.412,2551.8635,0.0,0.0
2,44.0,44.0,0.0,0.0,44.0,213.1751,33173.6938,1052.6317,146.1142,89.4803,3465.8152,0.0,732.371
3,48.0,48.0,0.0,143.5161,46.696,226.1034,31160.4771,982.5186,147.9266,91.3919,3499.8359,0.0,2448.2683
4,52.0,52.0,0.0,91.7388,48.5392,1298.3536,29050.538,914.6402,182.3175,102.9441,3499.8359,1039.9344,3158.2519
5,56.0,56.0,0.0,337.1491,50.0,2833.9894,27151.4632,845.2086,232.0166,118.958,3499.8359,2551.8635,2356.3064
6,56.0,56.0,0.0,326.5936,50.0,3772.8452,25216.929,781.3123,262.6975,128.3465,3499.8359,3465.8152,640.4091
7,56.0,56.0,0.0,292.9172,50.0,3727.3954,23328.1889,715.4239,217.4431,111.3212,2418.1601,3499.8359,6.6373
8,52.0,52.0,0.0,254.6519,49.492,3637.2331,21531.5366,656.325,147.1002,96.5703,738.3053,3499.8359,0.0
9,48.0,48.0,0.0,119.5009,47.4984,2388.1186,20994.8763,649.5377,87.2164,93.2513,200.0,3499.8359,28.4512
10,44.0,44.0,0.0,335.5828,44.9917,1650.3491,21560.8388,670.5079,61.667,85.5934,200.0,3499.8359,118.4346
11,44.0,21.096,22.904,310.4511,44.1983,1710.7527,20906.319,639.4944,64.0026,91.1687,200.0,2418.1601,172.3608
12,44.0,0.0,66.904,231.5255,44.0397,1956.4684,18146.6674,540.0132,71.9401,108.4808,200.0,738.3053,126.9858
13,48.0,69.48,45.424,6049.5614,46.6999,2107.6477,20336.4533,631.9175,76.2783,120.3713,200.0,200.0,20.3856
14,52.0,28.0,69.424,1355.6184,48.54,1756.4587,18216.3506,564.9935,78.9827,98.9537,523.8694,200.0,0.0
15,56.0,75.5512,49.8728,5372.9658,50.0,486.7387,21328.9287,691.6901,99.2306,87.1301,2060.2286,200.0,0.0
16,56.0,49.8848,55.988,330.7972,50.0,315.1375,19596.6056,630.971,147.2008,94.2121,3386.2771,200.0,406.4038
17,56.0,25.1152,86.8728,2054.9954,50.0,339.1793,19589.2087,623.3902,153.2052,94.0099,3499.8359,200.0,2042.763
18,52.0,119.9917,18.8811,3974.2769,49.492,764.7361,21340.7201,686.0517,167.2066,98.1278,3502.4731,523.8694,3350.719
19,48.0,42.0997,24.7814,1749.5771,47.4984,2320.1725,21068.375,687.1231,216.1341,113.1381,3512.6231,2060.2286,2882.7702
20,44.0,25.0,43.7814,464.4681,44.9917,3656.5135,19662.4996,632.4872,259.3512,125.6742,3520.1359,3386.2771,933.8343
21,44.0,74.5883,13.1932,325.9118,44.1983,3681.561,18080.8157,580.6181,219.7706,113.8364,2516.3315,3499.8359,20.7567
22,44.0,57.1932,0.0,3959.2564,44.0397,3643.9343,20068.4037,671.9372,148.4,99.6962,761.4882,3502.4731,17.251
23,48.0,42.8068,5.1932,349.7462,46.6999,2509.8384,19495.48,661.7936,90.8116,94.7807,220.3,3512.6231,49.6484
24,52.0,50.4984,6.6948,1207.2687,48.54,1973.9956,20307.1282,678.6454,74.0659,89.6302,220.3,3520.1359,135.9856
25,56.0,30.0,32.6948,226.7191,50.0,2005.3427,19116.7382,634.8696,74.2715,98.3916,212.6812,2516.3315,178.5592
26,56.0,67.0368,21.658,478.2879,50.0,2096.4624,16294.9173,528.0002,76.5533,112.2075,202.5312,761.4882,135.5846
27,56.0,11.2956,66.3624,2554.2315,50.0,2167.1672,14992.8881,483.8027,78.9715,121.3393,200.0,220.3,35.5846
28,52.0,67.1996,51.1628,3212.1329,49.492,1058.861,15437.3534,523.7242,81.7277,109.1037,1162.6147,220.3,0.0
29,48.0,45.2399,53.9228,3278.3222,47.4984,373.5089,16789.7294,542.8012,118.0379,99.9906,2627.5211,212.6812,0.0
