supplier_id,supplier_name,item_id,dst_node_id,edge_id,uom,input_initial_stock_qty,simulated_opening_stock_qty,base_stock_qty,min_stock_end_of_day,avg_stock_end_of_day,final_stock_end_of_day,neutral_opening_stock_floor_qty,neutral_opening_stock_reducible_qty,neutral_opening_stock_scale,nominal_capacity_qty_per_day,effective_capacity_qty_per_day,capacity_basis,applied_capacity_scale,explicit_capacity_qty_per_day,process_capacity_qty_per_day,downstream_requirement_qty_per_day,downstream_signal_qty_per_day,avg_capacity_utilization,max_capacity_utilization,capacity_active_days,max_capacity_used_qty_per_day,neutral_capacity_floor_qty_per_day,industrial_capacity_target_utilization,industrial_capacity_profile,industrial_nominal_capacity_qty_per_day,industrial_peak_utilization_if_nominal,current_capacity_headroom_vs_industrial_nominal,tested_capacity_floor_qty_per_day,tested_capacity_floor_factor,neutral_capacity_scale_if_nominal,current_capacity_headroom_factor,current_capacity_headroom_vs_tested_floor,capacity_floor_basis,planned_lead_time_days,lead_time_type,lead_time_stages,lead_time_source,lead_time_is_default,lead_reference_days,lead_cover_days,delay_step_limit,nominal_reliability_otif,reliability_source,standard_order_qty,standard_order_uom,mrp_share,mrp_rank,unit_purchase_cost,unit_transport_cost,total_shipped_qty,total_pulled_qty,shipment_rows,first_shipment_day,last_shipment_day
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,item:002612,M-1810,edge:SDC-VD0500655A_TO_M-1810_002612,KG,180.0,21600.0,21600.0,0.0,21246.052734,21600.0,21600.0,0.0,1.0,54000.0,54000.0,neutral_capacity_floor_override,1.0,0.0,0.0,83.52,29.232,0.001315,0.4,6,21600.0,21600.0,0.7,raw_material_qualified_pharma,30857.142857,0.7,1.75,54000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,21600.0,KG,0.05,4,1.34,0.21034,129600.0,129600.0,6,3,28
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,item:099439,M-1810,edge:SDC-VD0505677A_TO_M-1810_099439,KG,180.0,11569.782,4200.0,0.0,4216.928555,4287.696,11569.782,0.0,1.0,10500.0,10500.0,neutral_capacity_floor_override,1.0,0.0,0.0,83.52,29.232,0.001753,0.4,8,4200.0,4200.0,0.7,raw_material_qualified_pharma,6000.0,0.7,1.75,10500.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,35.0,erlang_pipeline,4,case_data_fia,False,35,42,70,1.0,service_level.otif,4200.0,KG,1.0,1,9.17,0.17246,33600.0,33600.0,8,0,31
SDC-VD0508918A,Supplier of Packaging - VD0508918A,item:730384,M-1430,edge:SDC-VD0508918A_TO_M-1430_730384,M,180.0,914144.0,914144.0,0.0,360216.840548,370000.0,914144.0,0.0,1.0,1850000.0,1850000.0,neutral_capacity_floor_override,1.0,0.0,0.0,32648.0,22853.6,0.001534,0.4,13,740000.0,740000.0,0.75,packaging_qualified_pharma,986666.666667,0.75,1.875,1850000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,370000.0,M,1.0,1,0.01,0.04032,5180000.0,5180000.0,14,0,67
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,item:016332,M-1810,edge:SDC-VD0514881A_TO_M-1810_016332,KG,180.0,2776.74768,1100.0,0.0,1072.397309,1100.0,2776.74768,0.0,1.0,2750.0,2750.0,neutral_capacity_floor_override,1.0,0.0,0.0,20.0448,7.01568,0.002411,0.4,11,1100.0,1100.0,0.7,raw_material_qualified_pharma,1571.428571,0.7,1.75,2750.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,49.0,erlang_pipeline,4,case_data_fia,False,49,59,98,1.0,service_level.otif,1100.0,KG,1.0,1,27.62,0.37312,12100.0,12100.0,11,0,46
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,item:001893,M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,KG,180.0,22800.0,22800.0,0.0,22432.874675,22800.0,22800.0,0.0,1.0,57000.0,57000.0,neutral_capacity_floor_override,1.0,0.0,0.0,317.376,111.0816,0.001315,0.4,6,22800.0,22800.0,0.7,raw_material_qualified_pharma,32571.428571,0.7,1.75,57000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,22800.0,KG,0.1,3,4.4,0.26998,136800.0,136800.0,6,2,27
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:001848,M-1810,edge:SDC-VD0519670A_TO_M-1810_001848,KG,180.0,4000.0,4000.0,0.0,3945.647563,4000.0,4000.0,0.0,1.0,10000.0,10000.0,neutral_capacity_floor_override,1.0,0.0,0.0,50.112,17.5392,0.001096,0.4,5,4000.0,4000.0,0.7,raw_material_qualified_pharma,5714.285714,0.7,1.75,10000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,21.0,erlang_pipeline,4,case_data_fia,False,21,26,42,1.0,service_level.otif,4000.0,KG,0.7,1,4.2,0.03094,20000.0,20000.0,5,0,20
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:029313,M-1810,edge:SDC-VD0519670A_TO_M-1810_029313,KG,180.0,300.0,300.0,0.0,290.248148,300.0,300.0,0.0,1.0,750.0,750.0,neutral_capacity_floor_override,1.0,0.0,0.0,1.6704,0.58464,0.00263,0.4,12,300.0,300.0,0.7,raw_material_qualified_pharma,428.571429,0.7,1.75,750.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,300.0,KG,1.0,1,2.07,0.03094,3600.0,3600.0,12,0,55
SDC-VD0520115A,Supplier of Packaging - VD0520115A,item:708073,M-1430,edge:SDC-VD0520115A_TO_M-1430_708073,KG,180.0,29309.28,29309.28,0.0,5219.228078,5000.0,29309.28,0.0,1.0,62500.0,62500.0,neutral_capacity_floor_override,1.0,0.0,0.0,1221.22,854.854,0.000745,0.4,13,25000.0,25000.0,0.75,packaging_qualified_pharma,33333.333333,0.75,1.875,62500.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,5000.0,KG,1.0,1,3.59,0.1134,85000.0,85000.0,17,0,1628
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:038005,M-1430,edge:SDC-VD0520132A_TO_M-1430_038005,KG,180.0,75456.446912,75456.446912,779.492416,12655.368212,10779.492416,74676.954496,779.492416,0.98967,25000.0,25000.0,neutral_capacity_floor_override,1.0,0.0,0.0,2694.873104,1886.411173,0.002849,0.4,13,10000.0,10000.0,0.65,raw_material_high_lead_qualified,15384.615385,0.65,1.625,25000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,154.0,erlang_pipeline,4,case_data_fia,False,154,185,308,1.0,service_level.otif,10000.0,KG,1.0,1,4.57,0.03992,220000.0,220000.0,22,-140,1631
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:049371,M-1810,edge:SDC-VD0520132A_TO_M-1810_049371,KG,180.0,8561.63868,1730.5344,0.0,1586.941899,1600.0,8561.63868,0.0,1.0,4000.0,4000.0,neutral_capacity_floor_override,1.0,0.0,0.0,61.8048,21.63168,0.001973,0.4,9,1600.0,1600.0,0.65,raw_material_high_lead_qualified,2461.538462,0.65,1.625,4000.0,2.5,1.0,2.5,1.0,max_daily_pulled_qty_observed_x2.5_tested,147.0,erlang_pipeline,4,case_data_fia,False,147,177,294,1.0,service_level.otif,1600.0,KG,1.0,1,14.65,0.13626,14400.0,14400.0,9,0,24
