day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,43.0,84.5,43.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,109.5,0.0,109.5,0.0
5,C-XXXXX,item:268091,25.0,152.5,0.0,152.5,0.0
6,C-XXXXX,item:268967,22.5,132.0,0.0,132.0,0.0
6,C-XXXXX,item:268091,22.5,175.0,25.0,150.0,25.0
7,C-XXXXX,item:268967,20.0,152.0,0.0,152.0,0.0
7,C-XXXXX,item:268091,20.0,170.0,45.0,125.0,45.0
8,C-XXXXX,item:268967,23.75,175.75,75.0,100.75,75.0
8,C-XXXXX,item:268091,23.75,148.75,0.0,148.75,0.0
9,C-XXXXX,item:268967,26.25,127.0,0.0,127.0,0.0
9,C-XXXXX,item:268091,26.25,175.0,0.0,175.0,0.0
10,C-XXXXX,item:268967,30.0,157.0,0.0,157.0,0.0
10,C-XXXXX,item:268091,30.0,205.0,48.0,157.0,48.0
11,C-XXXXX,item:268967,27.5,184.5,68.735552,115.764448,68.735552
11,C-XXXXX,item:268091,27.5,184.5,0.0,184.5,0.0
12,C-XXXXX,item:268967,25.0,140.764448,0.0,140.764448,0.0
12,C-XXXXX,item:268091,25.0,209.5,48.11296,161.38704,48.11296
13,C-XXXXX,item:268967,22.5,163.264448,0.0,163.264448,0.0
13,C-XXXXX,item:268091,22.5,183.88704,48.124518,135.762522,48.124518
