day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,61.553352,28964.16,1367.5,792.5,5.095025,271.36,3.84,2220.58514,0.62118,0.31059,1.96707,0.319725,683.76,0.108402,0.010353,0.006395,1.006474,0.015428,0.319725,317.5,190.0,1.4025,128.905,491700.0
1,61.150871,27576.294,1344.5,769.5,4.912635,266.484,3.656,1998.526626,0.61306,0.3045,1.9285,0.309575,683.76,0.105966,0.01015,0.006192,0.998963,0.015022,0.309575,312.5,185.0,1.3475,126.875,491699.67816
2,60.713391,26067.744,1319.5,744.5,4.714385,261.184,3.456,1757.158676,0.60494,0.29841,1.88993,0.299425,683.76,0.10353,0.009947,0.005989,0.991452,0.014616,0.299425,307.5,180.0,1.2925,124.845,491699.291952
3,60.275912,24559.194,1294.5,719.5,4.516135,255.884,3.256,1515.790726,0.59682,0.29232,1.85136,0.289275,683.76,0.101094,0.009744,0.005786,0.983941,0.01421,0.289275,302.5,175.0,1.2375,122.815,491698.89287
4,59.838432,23050.644,1269.5,694.5,4.317885,250.584,3.056,1274.422776,0.5887,0.28623,1.81279,0.279125,667.52,0.098658,0.009541,0.005583,0.97643,0.013804,0.279125,297.5,170.0,1.1825,120.785,491698.491214
5,59.400953,21542.094,1244.5,669.5,4.119635,245.284,2.856,1033.054826,0.58058,0.28014,1.77422,0.268975,667.52,0.096222,0.009338,0.00538,0.968919,0.013398,0.268975,292.5,165.0,1.1275,118.755,491698.089043
6,58.996495,20147.411768,1221.38704,646.38704,3.936349,240.384052,2.671096,845.905715,0.57246,0.27405,1.73565,0.258825,667.52,0.093786,0.009135,0.005177,0.961408,0.012992,0.258825,287.5,160.0,1.0725,116.725,491697.686769
7,58.635617,18903.003321,1200.764448,625.764448,3.955202,236.012063,2.506116,826.800405,0.56434,0.26796,1.69708,0.248675,667.52,0.09135,0.008932,0.004974,0.953897,0.012586,0.248675,282.5,155.0,1.0175,114.695,491697.284474
8,58.230957,17507.623632,1177.63993,602.63993,3.771825,231.109665,2.321119,603.539701,0.55622,0.26187,1.65851,0.238525,683.76,0.088914,0.008729,0.004771,0.946386,0.01218,0.238525,277.5,150.0,0.9625,112.665,491696.882175
9,57.793477,15999.073632,1152.63993,577.63993,3.573575,225.809665,2.121119,362.171751,0.5481,0.25578,1.61994,0.230405,683.76,0.088914,0.008526,0.004568,0.938875,0.011774,0.228375,272.5,145.0,0.9075,110.635,491696.479875
