day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,3939.824
0,SDC-1450,item:021081,3030400.320667
0,SDC-1450,item:693055,0.0
0,SDC-1450,item:773474,0.0
0,SDC-VD0500655A,item:002612,184.111574
0,SDC-VD0505677A,item:099439,178.945415
0,SDC-VD0508918A,item:730384,483.466
0,SDC-VD0514881A,item:016332,179.7469
0,SDC-VD0518684A,item:001893,179.599258
0,SDC-VD0519670A,item:001848,179.577324
0,SDC-VD0519670A,item:029313,184.572328
0,SDC-VD0520115A,item:708073,175.880365
0,SDC-VD0520132A,item:038005,170.909178
0,SDC-VD0520132A,item:049371,179.219607
0,SDC-VD0525412A,item:333362,0.0
0,SDC-VD0901566A,item:338928,0.0
0,SDC-VD0910216A,item:001893,177.194804
0,SDC-VD0910216A,item:002612,179.26179
0,SDC-VD0914320A,item:055703,184.237809
0,SDC-VD0914360C,item:338929,2280.5
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,125133.415541
0,SDC-VD0951020A,item:001757,179.156332
0,SDC-VD0951020A,item:001848,187.132117
0,SDC-VD0960508A,item:021081,125152.40444
0,SDC-VD0964290A,item:055703,184.852326
0,SDC-VD0972460A,item:021081,125158.10111
0,SDC-VD0975221A,item:021081,125158.10111
0,SDC-VD0989480A,item:426331,174.2855
0,SDC-VD0990780A,item:002612,181.056297
0,SDC-VD0993480A,item:344135,0.0
0,SDC-VD1091642A,item:001893,179.198515
0,SDC-VD1091642A,item:002612,184.111574
0,SDC-VD1095770A,item:734545,176.034
0,SDC-VD1096202A,item:039668,184.722751
1,SDC-1450,item:007923,3941.7728
1,SDC-1450,item:021081,3041573.594403
1,SDC-1450,item:693055,0.0
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,184.109225
1,SDC-VD0505677A,item:099439,178.946633
1,SDC-VD0508918A,item:730384,483.5932
1,SDC-VD0514881A,item:016332,179.747192
1,SDC-VD0518684A,item:001893,179.599721
1,SDC-VD0519670A,item:001848,179.577835
1,SDC-VD0519670A,item:029313,184.571389
1,SDC-VD0520115A,item:708073,175.885123
1,SDC-VD0520132A,item:038005,170.919678
1,SDC-VD0520132A,item:049371,179.220508
1,SDC-VD0525412A,item:333362,0.0
1,SDC-VD0901566A,item:338928,0.0
1,SDC-VD0910216A,item:001893,177.198044
1,SDC-VD0910216A,item:002612,179.262643
1,SDC-VD0914320A,item:055703,184.236493
1,SDC-VD0914360C,item:338929,2281.1
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0949099A,item:021081,125133.415541
1,SDC-VD0951020A,item:001757,179.157306
1,SDC-VD0951020A,item:001848,187.123658
1,SDC-VD0960508A,item:021081,125152.40444
1,SDC-VD0964290A,item:055703,184.851762
