day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,1486.0002,536740.2664,21206.2141,6478.4194,9647.3501,0.0,0.0,0.0,882.4741
1,47.5,0.0,87.5,64.96,82.0,409.222,534685.4325,21137.6694,124.7969,160.8758,0.0,0.0,0.0,631.3636
2,52.5,0.0,140.0,114.704,93.2,425.4429,532519.4095,21065.611,147.3877,36.2674,0.0,0.0,0.0,421.8506
3,60.0,0.0,200.0,127.2,94.64,380.9349,530411.8177,20995.6303,133.5322,25.0246,0.0,0.0,0.0,264.2857
4,55.0,20.0,235.0,20.0,94.928,291.5865,528266.6596,20927.3917,86.5274,12.6455,0.0,0.0,0.0,150.3571
5,50.0,66.0,219.0,222.2,94.9856,351.6441,526217.7011,20859.7563,131.0484,12.2613,0.0,0.0,0.0,51.4286
6,45.0,50.0,214.0,192.2,91.223,244.1369,524405.5326,20798.9055,70.1683,7.6429,0.0,0.0,0.0,0.0
7,40.0,50.0,204.0,311.3824,86.2446,154.4888,522991.2754,20745.5417,41.7263,6.186,0.0,0.0,0.0,0.0
8,47.5,0.0,251.5,190.166,91.2489,215.8855,521254.4495,20685.6915,77.5379,7.363,0.0,0.0,0.0,0.0
9,52.5,0.0,304.0,50.0215,95.0,227.7299,519223.241,20620.9833,80.6042,7.9035,0.0,0.0,0.0,0.0
10,60.0,0.0,364.0,193.6837,95.0,290.2126,517273.2119,20556.2776,124.0734,8.5284,0.0,0.0,0.0,0.0
11,55.0,73.113,345.887,252.5459,82.5124,187.9494,516300.8379,20522.859,54.7941,6.1132,0.0,0.0,0.0,0.0
12,50.0,20.6226,375.2644,115.2836,74.6236,206.6724,515786.9815,20509.1998,68.998,5.4207,0.0,0.0,0.0,0.0
13,45.0,141.8601,278.4044,279.3101,68.113,168.8258,515691.9937,20508.5302,48.2825,4.3123,0.0,0.0,0.0,0.0
14,40.0,23.1245,295.2799,215.435,65.6226,212.8011,515619.5506,20508.0755,85.3744,4.4693,0.0,0.0,0.0,0.0
15,47.5,25.0,317.7799,453.4714,72.7852,184.3169,515468.0054,20502.7151,58.3335,4.9883,0.0,0.0,0.0,0.0
16,52.5,0.0,370.2799,140.917,74.6609,177.3335,515027.0884,20488.9722,48.5814,5.1314,0.0,0.0,0.0,0.0
17,60.0,104.6236,325.6562,284.7866,74.4745,179.6428,514636.3893,20476.9946,50.2158,5.1337,0.0,0.0,0.0,0.0
18,55.0,23.113,357.5432,154.9165,74.6609,156.7109,514206.9805,20463.4686,34.2342,4.9252,0.0,0.0,0.0,0.0
19,50.0,56.2595,351.2837,136.0529,70.0,181.5551,514032.7723,20463.3953,52.2145,4.6539,0.0,0.0,0.0,0.0
20,45.0,0.0,396.2837,194.3177,68.113,173.4865,513989.9915,20461.5692,51.5249,4.3589,0.0,0.0,0.0,0.0
21,40.0,4.6609,431.6228,199.7007,79.6053,206.7631,512930.1552,20424.8636,79.0852,5.9683,0.0,0.0,0.0,0.0
22,47.5,34.1354,444.9873,154.3792,72.7855,148.6918,512505.9863,20411.2748,33.5491,4.6321,0.0,0.0,0.0,0.0
23,52.5,25.0,472.4873,253.9172,74.6594,198.4661,512132.0423,20397.5342,63.2835,5.3426,0.0,0.0,0.0,0.0
24,60.0,4.6606,527.8267,138.8108,70.0,172.5168,512021.2292,20396.752,45.9265,4.5635,0.0,0.0,0.0,0.0
25,55.0,68.6437,514.183,263.1853,79.3144,184.6445,511295.1013,20371.3573,52.9725,5.7235,0.0,0.0,0.0,0.0
26,50.0,43.7356,520.4474,158.8203,74.6609,161.3704,510844.3142,20360.2209,37.4758,4.9718,0.0,0.0,0.0,0.0
27,45.0,23.1245,542.3229,255.2712,72.7739,223.6426,510457.1515,20347.8643,85.7223,5.3803,0.0,0.0,0.0,0.0
28,40.0,4.6594,577.6635,121.3815,65.6226,142.4919,510379.4291,20347.1984,36.4602,3.7663,0.0,0.0,0.0,0.0
29,47.5,75.0,550.1635,284.4347,77.4464,197.2442,509663.8439,20321.953,66.6307,5.6374,0.0,0.0,0.0,0.0
30,47.5,0.0,597.6635,152.7601,68.6249,155.3365,509595.2589,20320.0475,37.5623,4.2356,0.0,0.0,0.0,0.0
31,47.5,53.05,592.1134,191.9146,78.0468,204.2005,508799.336,20294.754,69.9035,5.7751,0.0,0.0,0.0,0.0
32,47.5,9.3219,630.2916,208.0349,78.0669,156.1616,508111.2067,20270.7116,36.4306,5.297,0.0,0.0,0.0,0.0
33,47.5,0.0,677.7916,210.9378,68.749,203.217,508052.338,20268.7457,70.5489,4.7285,0.0,0.0,0.0,0.0
34,47.5,48.1245,677.1671,180.0602,73.4107,160.6872,507624.9382,20255.1177,40.2627,4.823,0.0,0.0,0.0,0.0
35,47.5,47.3499,677.3172,297.5942,78.0718,212.9987,506931.4798,20229.8196,75.9592,5.8659,0.0,0.0,0.0,0.0
36,47.5,18.6437,706.1734,24.1282,68.75,151.2104,506719.1597,20227.8772,34.3653,4.2085,0.0,0.0,0.0,0.0
37,47.5,61.4768,692.1966,376.718,82.7328,184.7497,505786.8922,20190.9718,55.6101,6.1032,0.0,0.0,0.0,0.0
38,47.5,0.0,739.6966,90.4361,68.75,154.6087,505656.1253,20191.2134,37.5448,4.2425,0.0,0.0,0.0,0.0
39,47.5,23.75,763.4467,314.5671,78.0719,126.5428,505089.6955,20165.9095,65.621,5.0014,0.0,0.0,0.0,0.0
40,47.5,9.3219,801.6248,119.7542,68.75,116.9095,505016.6241,20166.4545,60.3115,3.8655,0.0,0.0,0.0,0.0
41,47.5,47.5,801.6248,306.894,87.3937,121.7483,503759.4557,20119.6356,60.8931,5.993,0.0,0.0,0.0,0.0
42,47.5,0.0,849.1248,94.8789,50.9844,74.927,503485.754,20108.8808,41.8923,1.4193,0.0,0.0,0.0,0.0
43,47.5,47.4998,849.125,116.5721,49.6609,73.5667,503193.8023,20097.2027,41.6237,1.2554,0.0,0.0,0.0,0.0
