day,src_node_id,dst_node_id,item_id,shipped_qty,pulled_qty,lead_days,arrival_day,reliability,uom
0,SDC-VD0520132A,M-1430,item:038005,12.468163,12.468163,192,192,1.0,KG
0,SDC-VD0914690A,M-1430,item:042342,180.0,180.0,15,15,1.0,UN
0,SDC-VD0525412A,M-1430,item:333362,180.0,180.0,89,89,1.0,UN
0,SDC-VD0993480A,M-1430,item:344135,167.5,167.5,32,32,1.0,UN
0,SDC-VD0520115A,M-1430,item:708073,1.090375,1.090375,18,18,1.0,KG
0,SDC-VD0508918A,M-1430,item:730384,56.18,56.18,15,15,1.0,M
0,SDC-VD1095770A,M-1430,item:734545,0.84,0.84,27,27,1.0,UN
0,SDC-1450,M-1430,item:773474,180.0,180.0,7,7,1.0,G
0,SDC-VD0951020A,M-1810,item:001757,3.17898,3.17898,144,144,1.0,KG
0,SDC-VD0519670A,M-1810,item:001848,1.60776,1.60776,17,17,1.0,KG
0,SDC-VD0910216A,M-1810,item:001893,10.18248,10.18248,12,12,1.0,KG
0,SDC-VD0910216A,M-1810,item:002612,1.689975,1.689975,67,67,1.0,KG
0,SDC-VD0514881A,M-1810,item:016332,0.563934,0.563934,85,85,1.0,KG
0,SDC-VD0519670A,M-1810,item:029313,0.053592,0.053592,60,60,1.0,KG
0,SDC-VD1096202A,M-1810,item:039668,0.0338,0.0338,30,30,1.0,KG
0,SDC-VD0520132A,M-1810,item:049371,5.099969,5.099969,268,268,1.0,KG
0,SDC-VD0914320A,M-1810,item:055703,0.080794,0.080794,42,42,1.0,KG
0,SDC-VD0505677A,M-1810,item:099439,1.689975,1.689975,23,23,1.0,KG
0,SDC-VD0901566A,M-1810,item:338928,180.0,180.0,28,28,1.0,UN
0,SDC-VD0914360C,M-1810,item:338929,180.0,180.0,19,19,1.0,UN
0,SDC-VD0989480A,M-1810,item:426331,7.5075,7.5075,35,35,1.0,UN
0,SDC-1450,M-1810,item:693055,180.0,180.0,58,58,1.0,G
0,M-1430,DC-1920,item:268967,5.0,5.0,2,2,1.0,UN
0,M-1810,DC-1920,item:268091,20.0,20.0,4,4,1.0,UN
0,SDC-VD0949099A,SDC-1450,item:021081,180.0,180.0,67,67,1.0,KG
0,SDC-VD0960508A,SDC-1450,item:021081,180.0,180.0,65,65,1.0,KG
0,SDC-VD0972460A,SDC-1450,item:021081,180.0,180.0,131,131,1.0,KG
0,SDC-VD0975221A,SDC-1450,item:021081,180.0,180.0,227,227,1.0,KG
0,SDC-1450,M-1810,item:007923,64.96,64.96,1,1,1.0,G
1,SDC-VD0520132A,M-1430,item:038005,0.087496,0.087496,115,116,1.0,KG
1,SDC-VD0993480A,M-1430,item:344135,5.0,5.0,22,23,1.0,UN
1,SDC-VD0520115A,M-1430,item:708073,0.03965,0.03965,36,37,1.0,KG
1,SDC-VD0508918A,M-1430,item:730384,1.06,1.06,39,40,1.0,M
1,SDC-VD1095770A,M-1430,item:734545,0.04,0.04,24,25,1.0,UN
1,SDC-1450,M-1430,item:773474,36.0,36.0,12,13,1.0,G
1,SDC-VD0951020A,M-1810,item:001757,0.037352,0.037352,72,73,1.0,KG
1,SDC-VD0519670A,M-1810,item:001848,0.028014,0.028014,10,11,1.0,KG
1,SDC-VD0910216A,M-1810,item:001893,0.177422,0.177422,47,48,1.0,KG
1,SDC-VD0910216A,M-1810,item:002612,0.04669,0.04669,13,14,1.0,KG
1,SDC-VD0514881A,M-1810,item:016332,0.011206,0.011206,10,11,1.0,KG
1,SDC-VD0519670A,M-1810,item:029313,0.000934,0.000934,75,76,1.0,KG
1,SDC-VD1096202A,M-1810,item:039668,0.000934,0.000934,24,25,1.0,KG
