day,node_id,item_id,capacity_qty_per_day,used_qty,remaining_capacity_qty,utilization
0,SDC-1450,item:007923,428.571429,12.992,415.579429,0.030315
0,SDC-1450,item:693055,25.714286,25.714286,0.0,1.0
0,SDC-1450,item:773474,500000.0,180.0,499820.0,0.00036
0,SDC-VD0500655A,item:002612,25.714286,0.082875,25.631411,0.003223
0,SDC-VD0505677A,item:099439,65.625,1.657495,63.967505,0.025257
0,SDC-VD0508918A,item:730384,25.714286,25.714286,0.0,1.0
0,SDC-VD0514881A,item:016332,25.714286,0.556139,25.158147,0.021628
0,SDC-VD0518684A,item:001893,25.714286,1.005906,24.70838,0.039119
0,SDC-VD0519670A,item:001848,102.564103,1.11179,101.452312,0.01084
0,SDC-VD0519670A,item:029313,25.714286,0.052942,25.661343,0.002059
0,SDC-VD0520115A,item:708073,25.714286,5.412225,20.302061,0.210475
0,SDC-VD0520132A,item:038005,35.460993,35.460993,0.0,1.0
0,SDC-VD0520132A,item:049371,25.714286,5.075934,20.638352,0.197397
0,SDC-VD0525412A,item:333362,45.454545,45.454545,0.0,1.0
0,SDC-VD0901566A,item:338928,31.25,31.25,0.0,1.0
0,SDC-VD0910216A,item:001893,25.714286,7.041339,18.672947,0.27383
0,SDC-VD0910216A,item:002612,25.714286,1.160246,24.554039,0.045121
0,SDC-VD0914320A,item:055703,25.714286,0.055646,25.658639,0.002164
0,SDC-VD0914360C,item:338929,64.935065,64.935065,0.0,1.0
0,SDC-VD0914690A,item:042342,1885.6875,180.0,1705.6875,0.095456
0,SDC-VD0949099A,item:021081,5587.5,180.0,5407.5,0.032215
0,SDC-VD0951020A,item:001757,25.714286,3.152996,22.56129,0.122617
0,SDC-VD0951020A,item:001848,58.252427,0.476482,57.775946,0.00818
0,SDC-VD0960508A,item:021081,5587.5,180.0,5407.5,0.032215
0,SDC-VD0964290A,item:055703,25.714286,0.023848,25.690437,0.000927
0,SDC-VD0972460A,item:021081,5587.5,180.0,5407.5,0.032215
0,SDC-VD0975221A,item:021081,5587.5,180.0,5407.5,0.032215
0,SDC-VD0989480A,item:426331,25.714286,7.3315,18.382786,0.285114
0,SDC-VD0990780A,item:002612,25.714286,0.331499,25.382787,0.012892
0,SDC-VD0993480A,item:344135,31.25,31.25,0.0,1.0
0,SDC-VD1091642A,item:001893,25.714286,2.011811,23.702475,0.078237
0,SDC-VD1091642A,item:002612,25.714286,0.082875,25.631411,0.003223
0,SDC-VD1095770A,item:734545,25.714286,4.16,21.554286,0.161778
0,SDC-VD1096202A,item:039668,25.714286,0.03315,25.681136,0.001289
